,3SsnPorch,BedroomAbvGr,BsmtFullBath,BsmtHalfBath,BsmtUnfSF,CentralAir,EnclosedPorch,Fence,FullBath,Functional,GrLivArea,HalfBath,HeatingQC,KitchenAbvGr,LotArea,LowQualFinSF,MiscVal,OpenPorchSF,PavedDrive,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,Zoning_Rating,Neighborhood_Rating,Cond_Artery,Cond_Feedr,Cond_Norm,Cond_RRNn,Cond_RRAn,Cond_PosN,Cond_PosA,Cond_RRNe,Cond_RRAe,BH_2FmCon,BH_Duplx,BH_TwnhsI,BH_TwnhsE,BH_1.5Fin,BH_1Story,BH_2.5Unf,BH_2Story,BH_SFoyer,Overall_Score,Building_Age,Remod_Age,Ext_AsbShng,Ext_AsphShn,Ext_BrkComm,Ext_BrkFace,Ext_CBlock,Ext_CemntBd,Ext_HdBoard,Ext_ImStcc,Ext_MetalSd,Ext_Other,Ext_Plywood,Ext_Stone,Ext_Stcco,Ext_VinylSd,Ext_Wd Sdng,Ext_WdShing,MasVnr_Rating,Exter_Rating,Bsmt_Rating,BsmtFin_Rating,Fireplace_Rating,Garage_Rating,Pool_Rating,1,2,3,4,5,6,7,8,9,10,11,12,2006,2007,2008,2009,2010,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,SaleType_COD,SaleType_Con,SaleType_Deed,SaleType_New,SaleType_Oth,Street_Grvl,Street_Pave
1460,0,2,0.0,0.0,270.0,1,0,7,1,10,896,0,5,1,11622,0,0,0,2,120,5,882.0,140,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,25,3708.0,0,91.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1461,0,3,0.0,0.0,406.0,1,0,0,1,10,1329,1,5,1,14267,0,12500,36,2,0,6,1329.0,393,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108,25,25,6461.0,0,39.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1462,0,3,0.0,0.0,137.0,1,0,7,2,10,1629,1,7,1,13830,0,0,34,2,0,6,928.0,212,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,35,7910.0,5,120.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1463,0,3,0.0,0.0,324.0,1,0,0,2,10,1604,1,10,1,9978,0,0,36,2,0,7,926.0,360,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,25,25,6020.0,7,117.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1464,0,2,0.0,0.0,1017.0,1,0,0,2,10,1280,0,10,1,5005,0,0,82,2,144,5,1280.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,40,18,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35,35,1841.0,0,88.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1465,0,3,0.0,0.0,763.0,1,0,0,2,10,1655,1,7,1,10000,0,0,84,2,0,7,763.0,157,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,17,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,35,0.0,5,110.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1466,0,3,1.0,0.0,233.0,1,0,10,2,10,1187,0,10,1,7980,0,500,21,2,0,6,1168.0,483,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42,18,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35,35,6545.0,0,105.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1467,0,3,0.0,0.0,789.0,1,0,0,2,10,1465,1,7,1,8402,0,0,75,2,0,7,789.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,35,0.0,7,98.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1468,0,2,1.0,0.0,663.0,1,0,0,1,10,1341,1,7,1,10176,0,0,0,2,0,5,1300.0,192,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35,20,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,70,6370.0,2,63.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1469,0,2,1.0,0.0,0.0,1,0,7,1,10,882,0,5,1,8400,0,0,0,2,0,4,882.0,240,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,40,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,25,6174.0,0,131.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
