,3SsnPorch,BedroomAbvGr,BsmtFullBath,BsmtHalfBath,BsmtUnfSF,CentralAir,EnclosedPorch,Fence,FullBath,Functional,GrLivArea,HalfBath,HeatingQC,KitchenAbvGr,LotArea,LowQualFinSF,MiscVal,OpenPorchSF,PavedDrive,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,Zoning_Rating,Neighborhood_Rating,Cond_Artery,Cond_Feedr,Cond_Norm,Cond_RRNn,Cond_RRAn,Cond_PosN,Cond_PosA,Cond_RRNe,Cond_RRAe,BH_2FmCon,BH_Duplx,BH_TwnhsI,BH_TwnhsE,BH_1.5Fin,BH_1Story,BH_2.5Unf,BH_2Story,BH_SFoyer,Overall_Score,Building_Age,Remod_Age,Ext_AsbShng,Ext_AsphShn,Ext_BrkComm,Ext_BrkFace,Ext_CBlock,Ext_CemntBd,Ext_HdBoard,Ext_ImStcc,Ext_MetalSd,Ext_Other,Ext_Plywood,Ext_Stone,Ext_Stcco,Ext_VinylSd,Ext_Wd Sdng,Ext_WdShing,MasVnr_Rating,Exter_Rating,Bsmt_Rating,BsmtFin_Rating,Fireplace_Rating,Garage_Rating,Pool_Rating,1,2,3,4,5,6,7,8,9,10,11,12,2006,2007,2008,2009,2010,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,SaleType_COD,SaleType_Con,SaleType_Deed,SaleType_New,SaleType_Oth,Street_Grvl,Street_Pave
0,0,3,1.0,0.0,150.0,1,0,0,2,10,1710,1,10,1,8450,0,0,61,2,0,8,856.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,196,35,35,7060.0,0,95.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,0,3,0.0,1.0,284.0,1,0,0,2,10,1262,0,10,1,9600,0,0,0,2,0,6,1262.0,298,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48,31,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,70,6846.0,5,80.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2,0,3,1.0,0.0,434.0,1,0,0,2,10,1786,1,10,1,11250,0,0,42,2,0,6,920.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,162,35,35,4860.0,5,106.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
3,0,3,1.0,0.0,540.0,1,272,0,1,10,1717,0,7,1,9550,0,0,35,2,0,7,756.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,91,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25,35,1512.0,7,80.25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
4,0,4,1.0,0.0,490.0,1,0,0,2,10,2198,1,10,1,14260,0,0,84,2,0,9,1145.0,192,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,350,35,35,6550.0,5,146.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
5,320,1,1.0,0.0,64.0,1,0,7,1,10,1362,1,10,1,14115,0,700,30,2,0,5,796.0,40,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,35,7320.0,0,60.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
6,0,3,1.0,0.0,317.0,1,0,0,2,10,1694,0,10,1,10084,0,0,57,2,0,7,1686.0,255,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,372,35,50,13690.0,7,111.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
7,0,3,1.0,0.0,216.0,1,228,0,2,10,2090,1,10,1,10382,0,350,204,2,0,7,1107.0,235,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,42,36,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,480,25,35,6173.0,10,84.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
8,0,2,0.0,0.0,952.0,1,205,0,2,7,1774,0,7,2,6120,0,0,0,2,0,8,952.0,90,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35,77,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25,25,0.0,10,35.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
9,0,2,1.0,0.0,140.0,1,0,0,1,10,1077,0,10,2,7420,0,0,4,2,0,5,991.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,69,58,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,25,8510.0,10,50.225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
10,0,3,1.0,0.0,134.0,1,0,0,1,10,1040,0,10,1,11200,0,0,0,2,0,5,1040.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,43,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,25,6342.0,0,48.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
